,default,,no sep,,no reentry,,no gen,,no all,
filename,times,eq,times,eq,times,eq,times,eq,times,eq
arrays-1.bils,0.007,yes,0.007,N/A,0.006,yes,0.006,yes,0.011,N/A
arrays.bils,0.054,yes,1.824,N/A,0.049,yes,0.047,yes,1.377,N/A
bsearch-eq-1.bils,0.024,yes,0.024,yes,0.024,yes,0.026,yes,0.611,N/A
bsearch-eq-2.bils,0.025,yes,0.026,yes,0.025,yes,0.025,yes,0.035,N/A
bsearch-eq-3.bils,0.024,yes,0.025,yes,0.024,yes,0.024,yes,0.054,N/A
cell-1.bils,0.004,yes,0.004,yes,0.004,yes,0.004,yes,0.004,N/A
cell-2.bils,0.004,yes,0.004,yes,0.004,yes,0.004,yes,0.004,N/A
cell-3.bils,0.004,yes,0.023,N/A,0.004,yes,0.004,yes,0.031,N/A
cell-4.bils,0.026,yes,0.026,yes,0.026,yes,0.004,N/A,0.004,N/A
cell-5.bils,0.019,yes,0.019,yes,0.019,yes,0.009,yes,0.089,N/A
cell-ho.bils,0.005,yes,0.012,N/A,0.005,yes,0.006,yes,0.057,N/A
counter.bils,0.01,yes,0.01,yes,0.011,yes,0.005,N/A,0.004,N/A
counter-v2.bils,0.01,yes,0.01,yes,0.01,yes,0.004,N/A,0.004,N/A
fact-tail-rec.bils,0.01,N/A,0.01,N/A,0.01,N/A,0.012,N/A,0.013,N/A
gc-equiv-2.bils,0.003,yes,0.003,yes,0.004,yes,0.003,yes,0.003,N/A
gc-equiv.bils,0.003,yes,0.003,yes,0.003,yes,0.003,yes,0.003,N/A
hector-bsort-CN5-sorted.bils,0.334,yes,150.096,error,0.333,yes,0.332,yes,150.078,error
hector-bsort-isort-CN100-all-steps.bils,0.344,yes,23.467,N/A,,yes,0.346,yes,15.432,N/A
hector-bsort-isort-CN10-all-steps.bils,0.035,yes,1.8,N/A,0.035,yes,0.035,yes,1.257,N/A
hector-bsort-isort-CN10-one-step.bils,0.07,yes,150.264,error,0.051,yes,0.052,yes,150.056,error
hector-bsort-isort-CN2-one-step.bils,0.009,yes,0.515,N/A,0.007,yes,0.008,yes,0.368,N/A
hector-bsort-isort-CN5-one-step.bils,0.019,yes,102.966,N/A,0.016,yes,0.016,yes,90.018,N/A
hector-isort-CN5.bils,0.137,yes,150.149,error,0.135,yes,0.134,yes,150.099,error
hector-pitts-stark.bils,0.004,N/A,0.006,N/A,0.004,N/A,0.004,N/A,0.006,N/A
hector-scope-extrusion-2-3.bils,0.003,yes,0.018,N/A,0.003,yes,0.003,yes,0.463,N/A
hector-thamsborg.bils,0.017,N/A,0.021,N/A,0.018,N/A,0.017,N/A,0.022,N/A
ho-sum.bils,0.01,yes,0.01,yes,0.025,N/A,0.037,N/A,17.025,N/A
ho-sum-v2.bils,0.015,yes,0.016,yes,0.077,N/A,0.052,N/A,0.066,N/A
identity-1.bils,0.004,yes,0.013,N/A,0.003,yes,0.003,yes,0.632,N/A
identity-2.bils,0.006,yes,0.078,N/A,0.004,yes,0.004,yes,150.05,error
landin-fixpoint.bils,0.005,yes,0.012,N/A,0.005,N/A,0.004,N/A,0.029,N/A
list-msort-N5.bils,0.207,yes,150.038,error,0.203,yes,0.206,yes,150.02,error
list-msort-N6.bils,1.35,yes,150.026,error,1.355,yes,1.355,yes,150.02,error
list-qsort-msort-N5.bils,0.361,yes,150.108,error,0.361,yes,0.364,yes,150.033,error
list-qsort-N5.bils,0.216,yes,150.031,error,0.217,yes,0.217,yes,150.019,error
list-qsort-N6.bils,1.44,yes,150.024,error,1.45,yes,1.44,yes,150.019,error
mccarthy.bils,0.013,N/A,0.018,N/A,0.013,N/A,0.013,N/A,0.045,N/A
mccarthy-imp.bils,0.012,N/A,0.015,N/A,0.011,N/A,0.012,N/A,0.012,N/A
mccarthy-knuth2.bils,0.015,N/A,0.017,N/A,0.015,N/A,0.015,N/A,0.042,N/A
mccarthy-knuth.bils,0.013,N/A,0.013,N/A,0.012,N/A,0.012,N/A,0.03,N/A
