,default,,no sep,,no reentry,,no gen,,no all,
filename,times,eq,times,eq,times,eq,times,eq,times,eq
bsearch-ineq-1.bils,0.012,no,0.012,no,0.014,no,0.014,no,0.013,no
bsearch-ineq-2.bils,0.017,no,0.017,no,0.017,no,0.019,no,0.017,no
bsearch-ineq-3.bils,0.052,no,0.051,no,0.052,no,0.055,no,0.077,no
bsearch-ineq-4.bils,0.013,no,0.013,no,0.013,no,0.013,no,0.013,no
bsearch-ineq-5.bils,0.018,no,0.018,no,0.018,no,0.018,no,0.019,no
call-nested-param.bils,2.574,no,2.677,no,2.571,no,2.569,no,0.88,no
cross-reentrancy-param.bils,0.084,no,0.084,no,0.085,no,0.084,no,0.076,no
cross-reentrancy-param-v2.bils,0.101,no,0.095,no,0.102,no,0.103,no,0.26,no
cross-reentrancy-param-v3.bils,0.085,no,0.08,no,0.085,no,0.086,no,0.193,no
ex3.4-e.bils,0.003,no,0.004,no,0.003,no,0.004,no,0.003,no
ex3.5-e.bils,0.003,no,0.003,no,0.003,no,0.003,no,0.003,no
ex4v1-ineq.bils,0.004,no,0.004,no,0.004,no,0.004,no,0.004,no
ex4v2-ineq.bils,0.008,no,0.007,no,0.007,no,0.008,no,0.008,no
ex4v3-ineq.bils,0.024,no,0.023,no,0.024,no,0.024,no,0.024,no
ex4v4-ineq.bils,0.012,no,0.011,no,0.012,no,0.013,no,0.012,no
ex4v5-ineq.bils,0.024,no,0.024,no,0.025,no,0.024,no,0.026,no
hector-bsort-isort-CN10.bils,12.116,no,150.263,error,12.179,no,12.196,no,150.055,error
hector-bsort-isort-CN2.bils,0.014,no,1.234,no,0.014,no,0.014,no,0.947,no
hector-bsort-isort-CN5.bils,0.372,no,150.259,error,0.374,no,0.375,no,150.053,error
hector-bsort-isort-CNE.bils,0.028,no,0.29,no,0.023,no,0.023,no,0.304,no
hector-kierstead.bils,0.006,no,0.009,no,0.004,no,0.004,no,0.093,no
hector-scope-extrusion-1-2.bils,0.007,no,0.009,no,0.005,no,0.006,no,0.01,no
hector-scope-extrusion-1-3.bils,0.007,no,0.008,no,0.005,no,0.005,no,0.01,no
hector-snapback.bils,0.005,no,0.004,no,0.003,no,0.003,no,0.004,no
hector-stark-tricky.bils,0.006,no,0.004,no,0.004,no,0.004,no,0.004,no
holik-file-lock-param-e.bils,0.007,no,0.005,no,0.006,no,0.005,no,0.006,no
holik-file-lock-param-e-large.bils,0.029,no,0.026,no,0.022,no,0.022,no,0.021,no
holik-flat-combiner-e.bils,0.03,no,0.028,no,0.03,no,0.029,no,0.041,no
holik-flat-combiner-v2-e.bils,2.142,no,2.208,no,2.147,no,2.157,no,150.274,error
holik-flat-combiner-v4-e.bils,1.005,no,0.909,no,0.999,no,0.432,no,11.746,no
holik-reentrancy-e2.bils,0.004,no,0.004,no,0.005,no,0.004,no,0.005,no
holik-reentrancy-e3.bils,0.456,no,0.455,no,0.462,no,0.475,no,0.365,no
holik-reentrancy-e.bils,0.003,no,0.003,no,0.003,no,0.004,no,0.003,no
holik-reentrancy-ev2.bils,0.015,no,0.016,no,0.016,no,0.017,no,0.018,no
holik-reentrancy-ev.bils,0.017,no,0.016,no,0.016,no,0.017,no,0.018,no
invariants-1.bils,0.011,no,0.011,no,0.012,no,0.008,no,0.007,no
invariants-2.bils,0.004,no,0.004,no,0.004,no,0.004,no,0.004,no
invariants-3.bils,0.004,no,0.004,no,0.004,no,0.005,no,0.004,no
invariants-4.bils,0.107,no,0.104,no,0.11,no,0.105,no,0.087,no
list-msort-N5-ineq.bils,0.029,no,1.423,no,0.029,no,0.029,no,6.141,no
list-qsort-N5-ineq.bils,0.026,no,1.134,no,0.026,no,0.025,no,4.978,no
mccarthy-ineq.bils,0.025,no,0.024,no,0.024,no,0.025,no,0.027,no
mccarthy-knuth2-ineq.bils,0.014,no,0.015,no,0.014,no,0.014,no,0.015,no
meyer-sieber-ineq.bils,0.005,no,0.343,no,0.005,no,0.004,no,1.141,no
meyer-sieber-v2-ineq.bils,0.003,no,0.005,no,0.003,no,0.003,no,0.005,no
pitts-3.14.bils,0.011,no,0.146,no,0.01,no,0.01,no,36.806,no
reve-ackermann-ineq.bils,0.042,no,0.042,no,0.042,no,0.042,no,0.052,no
reve-add-horn-ineq.bils,0.02,no,0.019,no,0.019,no,0.019,no,0.02,no
reve-barthe-ineq.bils,0.139,no,0.138,no,0.138,no,0.138,no,0.14,no
reve-inlining-ineq.bils,0.026,no,0.027,no,0.026,no,0.026,no,0.027,no
reve-limit1-ineq.bils,0.012,no,0.012,no,0.012,no,0.012,no,0.013,no
reve-limit2-ineq.bils,0.145,no,0.147,no,0.146,no,0.145,no,0.147,no
reve-loop5-ineq.bils,0.008,no,0.008,no,0.008,no,0.008,no,0.008,no
reve-nested-while-ineq.bils,0.007,no,0.007,no,0.007,no,0.007,no,0.008,no
rivcp-4.1.2-e.bils,0.014,no,0.014,no,0.014,no,0.014,no,0.026,no
state-dependent-3-ineq.bils,0.006,no,0.006,no,0.006,no,0.006,no,0.005,no
state-dependent-4-ineq.bils,0.004,no,0.004,no,0.004,no,0.004,no,0.004,no
state-dependent-4-v2a-ineq.bils,0.004,no,0.004,no,0.004,no,0.004,no,0.004,no
state-dependent-4-v2b-ineq.bils,0.004,no,0.004,no,0.005,no,0.004,no,0.004,no
state-dependent-4-v3.bils,0.004,no,0.004,no,0.005,no,0.004,no,0.004,no
stateful-args-ineq.bils,0.006,no,0.006,no,0.007,no,0.006,no,0.006,no
symb-const-3.1.bils,0.004,no,0.005,no,0.005,no,0.004,no,0.004,no
symb-const-3.bils,0.004,no,0.004,no,0.004,no,0.004,no,0.004,no
symb-const-4.bils,0.004,no,0.005,no,0.005,no,0.005,no,0.005,no
syteci-fact-e.bils,0.012,no,0.012,no,0.012,no,0.012,no,0.011,no
vk-arrays-ineq.bils,0.007,no,0.007,no,0.007,no,0.007,no,0.006,no
vk-Aug10-1755.bils,0.019,no,0.212,no,0.021,no,0.021,no,0.386,no
vk-Oct9-1520.bils,0.014,no,0.014,no,0.015,no,0.015,no,0.015,no
